,title,link,location
69,Growth Strategy Analyst,https://www.indeed.com/rc/clk?jk=caf60fa5b958d610&fccid=448951d0ddf03e0c&vjs=3,"New York, NY"
70,"Summer Intern, Data & Technology",https://www.indeed.com/rc/clk?jk=ceca67fc57b395b4&fccid=b11ab84b412087d4&vjs=3,"New York, NY 10018 (Garment District area)"
71,Software Engineering Intern - 2021 Internship,https://www.indeed.com/rc/clk?jk=e3ba93a5d882f5d9&fccid=1dfe9483b30ed493&vjs=3,"Buffalo, NY 14225"
72,Senior Spatial Data and Mapping Analyst,https://www.indeed.com/rc/clk?jk=8c608a52e55e50d8&fccid=c6b5143eab3dbe34&vjs=3,"Long Island City, NY 11101"
73,Quantitative Analyst,https://www.indeed.com/rc/clk?jk=c94b1bd113f6d4d8&fccid=4fb0b2c432bee589&vjs=3,"New York, NY 10022 (Midtown area)"
74,Software Engineer Intern,https://www.indeed.com/rc/clk?jk=e01674d33559a721&fccid=978d9fd9799d55a8&vjs=3,"New York, NY 10018 (Clinton area)"
75,Data Scientist,https://www.indeed.com/rc/clk?jk=4f308e7494216a57&fccid=b0240a5b109c1256&vjs=3,"New York, NY"
76,Développeur Commando Front Office,https://www.indeed.com/rc/clk?jk=8b9ac16249576d19&fccid=bf3fb669dcbf8d45&vjs=3,"New York, NY"
77,Equity Research Associate,https://www.indeed.com/rc/clk?jk=0adb0520fc9b55a1&fccid=978bc31afb217dbc&vjs=3,"New York, NY 10022 (Turtle Bay area)"
78,Junior Data Scientist – Performance Analytics,https://www.indeed.com/rc/clk?jk=503b042faf79bcb0&fccid=654e90d7ed1a0db0&vjs=3,"New York, NY 10022 (Turtle Bay area)"
79,Python Data Science Software Engineer,https://www.indeed.com/rc/clk?jk=5db9b56512105f73&fccid=f770da67b3b51c62&vjs=3,"New York, NY"
80,Technical Support Engineer (Remote),https://www.indeed.com/rc/clk?jk=e03ee5b827497be0&fccid=4e579278e59b0b54&vjs=3,"New York, NY"
81,Process Modeling Engineer,https://www.indeed.com/rc/clk?jk=33135ebec1ae3f5d&fccid=31bebfb78bc1f0f1&vjs=3,"Corning, NY 14831"
82,Data Science Intern (Spring 2021),https://www.indeed.com/rc/clk?jk=5f66a9c9432c7a7d&fccid=2dda8667d8de78d8&vjs=3,"New York, NY"
83,"Computer Engineering, Entry Level",https://www.indeed.com/rc/clk?jk=7e3f9ec712dd6414&fccid=fd6a32f24dd4ee0d&vjs=3,"Webster, NY 14580"
84,Data Analytics Manager,https://www.indeed.com/rc/clk?jk=a40ea2c2e70c7ed8&fccid=cc9f04eed69b86b2&vjs=3,New York State
85,Data Analyst/Scientist (2021 Start),https://www.indeed.com/rc/clk?jk=d0ff28e6ee1d6819&fccid=30e07b3381b2a862&vjs=3,"New York, NY 10018 (Garment District area)"
86,BoxC NodeJS Full Stack Developer Remote,https://www.indeed.com/rc/clk?jk=e16579da26228c17&fccid=092927bc0814e0a6&vjs=3,New York State
